From	Uniprot_Entry	Reviewed	Seq_ID	Protein_names	Gene_Names	Organism	Length	Taxonomic_lineage	Active_site	Binding_site	EC_number	Function	Protein_families	RefSeq	AlphaFoldDB	PDB	EMDB
M5DQB5	M5DQB5	unreviewed	M5DQB5_9GAMM	Rhomboid family intramembrane serine protease	TOL_1137	Thalassolituus oleivorans MIL-1	280	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Oceanospirillaceae (family), Thalassolituus (genus), Thalassolituus oleivorans (species)						WP_015486308.1;	M5DQB5;		
A0A0C2YDS3	A0A0C2YDS3		A0A0C2YDS3_BACBA														
Q39WI5	Q39WI5	unreviewed	Q39WI5_GEOMG	Rhomboid-related membrane protein	Gmet_1151	Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)	240	cellular organisms (no rank), Bacteria (superkingdom), Thermodesulfobacteriota (phylum), Desulfuromonadia (class), Geobacterales (order), Geobacteraceae (family), Geobacter (genus), Geobacter metallireducens (species)					Peptidase S54 family	WP_004513416.1;	Q39WI5;		
O29251	O29251	unreviewed	O29251_ARCFU	AN1-type domain-containing protein	AF_1011	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)	330	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus fulgidus (species)					Peptidase S54 family		O29251;		
A0A0N5AXS1	A0A0N5AXS1	unreviewed	A0A0N5AXS1_9BILA	Rhomboid protease		Syphacia muris	367	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Spirurina (suborder), Oxyuridomorpha (infraorder), Oxyuroidea (superfamily), Oxyuridae (family), Syphacia (genus)					Peptidase S54 family		A0A0N5AXS1;		
D4M1A3	D4M1A3	unreviewed	D4M1A3_9FIRM	Uncharacterized membrane protein (Homolog of Drosophila rhomboid)	RTO_02300	[Ruminococcus] torques L2-14	206	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Lachnospirales (order), Lachnospiraceae (family), Mediterraneibacter (genus), [Ruminococcus] torques (species)					Peptidase S54 family		D4M1A3;		
A0A0M8XVN3	A0A0M8XVN3	unreviewed	A0A0M8XVN3_9ACTN	Protease	ADL05_20005	Nocardiopsis sp. NRRL B-16309	286	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Nocardiopsidaceae (family), Nocardiopsis (genus), unclassified Nocardiopsis (no rank)					Peptidase S54 family		A0A0M8XVN3;		
A0A0F5FND7	A0A0F5FND7	unreviewed	A0A0F5FND7_9HYPH	Peptidase S54 rhomboid domain-containing protein	VE26_08205	Devosia chinhatensis	244	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Devosiaceae (family), Devosia (genus)							A0A0F5FND7;		
C3J7Q2	C3J7Q2	unreviewed	C3J7Q2_POREA	Peptidase, S54 family (EC 3.4.21.-)	POREN0001_1141	Porphyromonas endodontalis (strain ATCC 35406 / DSM 24491 / JCM 8526 / CCUG 16442 / BCRC 14492 / NCTC 13058 / HG 370) (Bacteroides endodontalis)	232	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Bacteroidia (class), Bacteroidales (order), Porphyromonadaceae (family), Porphyromonas (genus), Porphyromonas endodontalis (species)			3.4.21.-			WP_004331986.1;	C3J7Q2;		
F5YM51	F5YM51	unreviewed	F5YM51_TREPZ	Rhomboid family protein	TREPR_0455	Treponema primitia (strain ATCC BAA-887 / DSM 12427 / ZAS-2)	209	cellular organisms (no rank), Bacteria (superkingdom), Spirochaetota (phylum), Spirochaetia (class), Spirochaetales (order), Treponemataceae (family), Treponema (genus), Treponema primitia (species)						WP_015709560.1;	F5YM51;		
A0A077F8Y0	A0A077F8Y0	unreviewed	A0A077F8Y0_9PSED	Rhomboid family protein	PSAKL28_15440	Pseudomonas alkylphenolica	290	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Pseudomonas (genus)					Peptidase S54 family	WP_038608726.1;	A0A077F8Y0;		
A0A0E9MXA9	A0A0E9MXA9	unreviewed	A0A0E9MXA9_9BACT	Peptidase S54 family protein	FPE01S_01_10590	Flavihumibacter petaseus NBRC 106054	308	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Chitinophagia (class), Chitinophagales (order), Chitinophagaceae (family), Flavihumibacter (genus), Flavihumibacter petaseus (species)						WP_046367810.1;	A0A0E9MXA9;		
H2J2Y4	H2J2Y4	unreviewed	H2J2Y4_MARPK	Putative membrane protein	Marpi_1272	Marinitoga piezophila (strain DSM 14283 / JCM 11233 / KA3)	235	cellular organisms (no rank), Bacteria (superkingdom), Thermotogota (phylum), Thermotogae (class), Petrotogales (order), Petrotogaceae (family), Marinitoga (genus), Marinitoga piezophila (species)						WP_014296746.1;	H2J2Y4;		
G3AQA6	G3AQA6	unreviewed	G3AQA6_SPAPN	Peptidase S54 rhomboid domain-containing protein	SPAPADRAFT_62024	Spathaspora passalidarum (strain NRRL Y-27907 / 11-Y1)	328	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Pichiomycetes (class), Serinales (order), Debaryomycetaceae (family), Spathaspora (genus), Spathaspora passalidarum (species)					Peptidase S54 family	XP_007376231.1;	G3AQA6;		
A0A067MYJ4	A0A067MYJ4	unreviewed	A0A067MYJ4_BOTB1	Rhomboid-type serine protease (EC 3.4.21.105)	BOTBODRAFT_26699	Botryobasidium botryosum (strain FD-172 SS1)	463	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetes incertae sedis (no rank), Cantharellales (order), Botryobasidiaceae (family), Botryobasidium (genus), Botryobasidium botryosum (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family		A0A067MYJ4;		
D4W796	D4W796		D4W796_9FIRM														
R5RS73	R5RS73		R5RS73_9BACE														
Q4KBJ4	Q4KBJ4	unreviewed	Q4KBJ4_PSEF5	Peptidase, S54 family (EC 3.4.21.-)	PFL_3284	Pseudomonas fluorescens (strain ATCC BAA-477 / NRRL B-23932 / Pf-5)	288	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Pseudomonas (genus), Pseudomonas chlororaphis group (no rank), Pseudomonas protegens (species)			3.4.21.-		Peptidase S54 family	WP_011061567.1;	Q4KBJ4;		
I3C6K8	I3C6K8	unreviewed	I3C6K8_9FLAO	Putative membrane protein	JoomaDRAFT_2263	Galbibacter orientalis DSM 19592	247	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Galbibacter (genus), Galbibacter orientalis (species)					Peptidase S54 family	WP_008612640.1;	I3C6K8;		
G2EAZ6	G2EAZ6	unreviewed	G2EAZ6_9FLAO	Rhomboid family intramembrane serine protease	BZARG_678	Bizionia argentinensis JUB59	249	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Flavobacteriia (class), Flavobacteriales (order), Flavobacteriaceae (family), Bizionia (genus), Bizionia argentinensis (species)					Peptidase S54 family	WP_040287976.1;	G2EAZ6;		
O24850	O24850	unreviewed	O24850_ACIAD	Peptidase S54 rhomboid domain-containing protein	ORF2 ACIAD1060	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	276	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Moraxellales (order), Moraxellaceae (family), Acinetobacter (genus), Acinetobacter baylyi (species)					Peptidase S54 family	WP_011182211.1;			
A0A094C1V0	A0A094C1V0	unreviewed	A0A094C1V0_9PEZI	Rhomboid-type serine protease (EC 3.4.21.105)	V494_03003	Pseudogymnoascus sp. VKM F-4513 (FW-928)	508	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Thelebolales (order), Thelebolaceae (family), Pseudogymnoascus (genus), unclassified Pseudogymnoascus (no rank)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family		A0A094C1V0;		
L5LZM7	L5LZM7	unreviewed	L5LZM7_MYODS	Peptidase S54 rhomboid domain-containing protein	MDA_GLEAN10018497	Myotis davidii (David's myotis)	563	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Chiroptera (order), Yangochiroptera (suborder), Vespertilionidae (family), Myotis (genus)							L5LZM7;		
R1CMB9	R1CMB9	unreviewed	R1CMB9_EMIHU	Peptidase S54 rhomboid domain-containing protein	EMIHUDRAFT_239153	Emiliania huxleyi (Coccolithophore) (Pontosphaera huxleyi)	305	cellular organisms (no rank), Eukaryota (superkingdom), Haptista (clade), Haptophyta (phylum), Prymnesiophyceae (clade), Isochrysidales (order), Noelaerhabdaceae (family), Emiliania (genus)						XP_005776181.1;			
F2KMK1	F2KMK1	unreviewed	F2KMK1_ARCVS	Peptidase S54, rhomboid domain protein	Arcve_1191	Archaeoglobus veneficus (strain DSM 11195 / SNP6)	262	cellular organisms (no rank), Archaea (superkingdom), Methanobacteriati (kingdom), Methanobacteriota (phylum), Archaeoglobi (class), Archaeoglobales (order), Archaeoglobaceae (family), Archaeoglobus (genus), Archaeoglobus veneficus (species)					Peptidase S54 family	WP_013683861.1;	F2KMK1;		
K0W1J5	K0W1J5	unreviewed	K0W1J5_9HYPH	Peptidase S54 rhomboid domain-containing protein	RCCGEPOP_30149	Rhizobium sp. Pop5	439	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Rhizobium/Agrobacterium group (no rank), Rhizobium (genus), unclassified Rhizobium (no rank)					Peptidase S54 family		K0W1J5;		
B8BCK3	B8BCK3	unreviewed	B8BCK3_ORYSI	Peptidase S54 rhomboid domain-containing protein	OsI_31626	Oryza sativa subsp. indica (Rice)	349	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), Liliopsida (clade), Petrosaviidae (subclass), commelinids (clade), Poales (order), Poaceae (family), BOP clade (clade), Oryzoideae (subfamily), Oryzeae (tribe), Oryzinae (subtribe), Oryza (genus), Oryza sativa (species)					Peptidase S54 family		B8BCK3;		
F0JKK8	F0JKK8	unreviewed	F0JKK8_9BACT	Rhomboid family protein	DND132_3254	Pseudodesulfovibrio mercurii	341	cellular organisms (no rank), Bacteria (superkingdom), Thermodesulfobacteriota (phylum), Desulfovibrionia (class), Desulfovibrionales (order), Desulfovibrionaceae (family), Pseudodesulfovibrio (genus)						WP_014323881.1;	F0JKK8;		
G7IAP6	G7IAP6	unreviewed	G7IAP6_MEDTR	RHOMBOID-like protein (EC 3.4.21.105)	11412678 MTR_1g101310 MtrunA17_Chr1g0203681	Medicago truncatula (Barrel medic) (Medicago tribuloides)	319	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), rosids (clade), fabids (clade), Fabales (order), Fabaceae (family), Papilionoideae (subfamily), 50 kb inversion clade (clade), NPAAA clade (clade), Hologalegina (clade), IRL clade (clade), Trifolieae (tribe), Medicago (genus)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_003592298.2;	G7IAP6;		
L0MP94	L0MP94	unreviewed	L0MP94_9GAMM	Rhomboid protease glpG	glpG D781_4355	Serratia sp. FGI94	278	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Enterobacterales (order), Yersiniaceae (family), Serratia (genus), unclassified Serratia (in: enterobacteria) (no rank)	"ACT_SITE 202; /note=""Nucleophile""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01594""; ACT_SITE 255; /evidence=""ECO:0000256|HAMAP-Rule:MF_01594"""		3.4.21.105	FUNCTION: Rhomboid-type serine protease that catalyzes intramembrane proteolysis. {ECO:0000256|HAMAP-Rule:MF_01594}.	Peptidase S54 family	WP_015962227.1;	L0MP94;		
A0A0F4R1Q2	A0A0F4R1Q2	unreviewed	A0A0F4R1Q2_9GAMM	GlpG protein	TW77_00545	Pseudoalteromonas rubra	273	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Pseudoalteromonadaceae (family), Pseudoalteromonas (genus)					Peptidase S54 family	WP_046003011.1;	A0A0F4R1Q2;		
E3D7S6	E3D7S6	unreviewed	E3D7S6_GARV3	Peptidase, S54 family (EC 3.4.21.-)	HMPREF0421_20148	Gardnerella vaginalis (strain ATCC 14019 / 317)	233	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Bifidobacteriales (order), Bifidobacteriaceae (family), Gardnerella (genus), Gardnerella vaginalis (species)			3.4.21.-		Peptidase S54 family	WP_009993795.1;YP_003985257.1;	E3D7S6;		
G9ZMF9	G9ZMF9	unreviewed	G9ZMF9_9LACO	Peptidase, S54 family	HMPREF9103_00907	Lentilactobacillus parafarraginis F0439	211	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Lactobacillaceae (family), Lentilactobacillus (genus), Lentilactobacillus parafarraginis (species)					Peptidase S54 family		G9ZMF9;		
A0A087X868	A0A087X868	unreviewed	A0A087X868_POEFO	Rhomboid-related protein 2 (EC 3.4.21.105)		Poecilia formosa (Amazon molly) (Limia formosa)	295	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Actinopterygii (superclass), Actinopteri (class), Neopterygii (subclass), Teleostei (infraclass), Osteoglossocephalai (clade), Clupeocephala (no rank), Euteleosteomorpha (cohort), Neoteleostei (clade), Eurypterygia (clade), Ctenosquamata (clade), Acanthomorphata (clade), Euacanthomorphacea (clade), Percomorphaceae (clade), Ovalentaria (clade), Atherinomorphae (superorder), Cyprinodontiformes (order), Cyprinodontoidei (suborder), Poeciliidae (family), Poeciliinae (subfamily), Poecilia (genus)	"ACT_SITE 179; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 242; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""		3.4.21.105	FUNCTION: Involved in regulated intramembrane proteolysis and the subsequent release of functional polypeptides from their membrane anchors. {ECO:0000256|PIRNR:PIRNR037470}.	Peptidase S54 family		A0A087X868;		
R6KMI0	R6KMI0	unreviewed	R6KMI0_9FIRM	Peptidase S54 rhomboid domain-containing protein	BN486_03240	[Clostridium] clostridioforme CAG:132	206	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Lachnospirales (order), Lachnospiraceae (family), Enterocloster (genus), Enterocloster clostridioformis (species)					Peptidase S54 family	WP_022202813.1;	R6KMI0;		
B2B4W7	B2B4W7	unreviewed	B2B4W7_PODAN	Rhomboid-type serine protease (EC 3.4.21.105)	PODANS_2_2730	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)	523	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Sordariomycetidae (subclass), Sordariales (order), Podosporaceae (family), Podospora (genus), Podospora anserina (species)			3.4.21.105	FUNCTION: Serine protease involved in intramembrane proteolysis. {ECO:0000256|RuleBase:RU362115}.	Peptidase S54 family	XP_001911017.1;	B2B4W7;		
A0A0D8P531	A0A0D8P531	unreviewed	A0A0D8P531_9GAMM	Rhomboid family intramembrane serine protease GlpG	glpG C9I88_08440	Photobacterium iliopiscarium	279	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Vibrionales (order), Vibrionaceae (family), Photobacterium (genus)						WP_045035865.1;	A0A0D8P531;		
K6ZUS4	K6ZUS4	unreviewed	K6ZUS4_9ALTE	Rhomboid-like protein	C427_0100	Paraglaciecola psychrophila 170	286	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Alteromonadales (order), Alteromonadaceae (family), Paraglaciecola (genus), Paraglaciecola psychrophila (species)					Peptidase S54 family	WP_007641950.1;	K6ZUS4;		
G2FND7	G2FND7	unreviewed	G2FND7_9FIRM	Rhomboid family protein	DOT_1178	Desulfosporosinus sp. OT	328	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Desulfitobacteriaceae (family), Desulfosporosinus (genus), unclassified Desulfosporosinus (no rank)					Peptidase S54 family		G2FND7;		
Q87YK4	Q87YK4	unreviewed	Q87YK4_PSESM	Rhomboid family protein	PSPTO_3791	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	284	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Pseudomonadales (order), Pseudomonadaceae (family), Pseudomonas (genus), Pseudomonas syringae group (no rank), Pseudomonas syringae group genomosp. 3 (species), Pseudomonas syringae pv. tomato (no rank)						NP_793565.1;	Q87YK4;		
Q8YQA2	Q8YQA2	unreviewed	Q8YQA2_NOSS1	Alr3931 protein	alr3931	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	223	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), unclassified Nostoc (no rank)					Peptidase S54 family	WP_010998072.1;	Q8YQA2;		
A8TAH7	A8TAH7	unreviewed	A8TAH7_9VIBR	GlpG protein	AND4_16444	Vibrio sp. AND4	279	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Vibrionales (order), Vibrionaceae (family), Vibrio (genus), Vibrio harveyi group (no rank), unclassified Vibrio harveyi group (no rank)						WP_009844028.1;	A8TAH7;		
A1AUR7	A1AUR7	unreviewed	A1AUR7_PELPD	Rhomboid family protein	Ppro_3495	Pelobacter propionicus (strain DSM 2379 / NBRC 103807 / OttBd1)	313	cellular organisms (no rank), Bacteria (superkingdom), Thermodesulfobacteriota (phylum), Desulfuromonadia (class), Desulfuromonadales (order), Desulfuromonadaceae (family), Pelobacter (genus), Pelobacter propionicus (species)							A1AUR7;		
J2K1J8	J2K1J8	unreviewed	J2K1J8_9ACTN	Rhomboid family intramembrane serine protease (EC 3.4.21.105)	SU9_017100 SU9_14461	Streptomyces auratus AGR0001	303	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), Streptomyces auratus (species)			3.4.21.105		Peptidase S54 family	WP_006604445.1;	J2K1J8;		
Q9KFG2	Q9KFG2	unreviewed	Q9KFG2_HALH5	BH0517 protein	BH0517	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	248	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Halalkalibacterium (ex Joshi et al. 2022) (genus), Halalkalibacterium halodurans (species)					Peptidase S54 family	WP_010896695.1;	Q9KFG2;		
A0A0N4WVB3	A0A0N4WVB3	unreviewed	A0A0N4WVB3_HAEPC	Rhomboid protease	HPLM_LOCUS15628	Haemonchus placei (Barber's pole worm)	374	cellular organisms (no rank), Eukaryota (superkingdom), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Rhabditida (order), Rhabditina (suborder), Rhabditomorpha (infraorder), Strongyloidea (superfamily), Trichostrongylidae (family), Haemonchus (genus)	"ACT_SITE 241; /note=""Nucleophile""; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50""; ACT_SITE 301; /evidence=""ECO:0000256|PIRSR:PIRSR037470-50"""				Peptidase S54 family				
A0A0E3Z3A8	A0A0E3Z3A8	unreviewed	A0A0E3Z3A8_9GAMM	Membrane protein	WQ53_08835	Pseudoxanthomonas suwonensis	230	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Lysobacterales (order), Lysobacteraceae (family), Pseudoxanthomonas (genus)						WP_052634005.1;	A0A0E3Z3A8;		
N0B2S5	N0B2S5	unreviewed	N0B2S5_9HYPH	Rhomboid family protein	HYPDE_30773	Hyphomicrobium denitrificans 1NES1	242	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Hyphomicrobiaceae (family), Hyphomicrobium (genus), Hyphomicrobium denitrificans (species)						WP_015597862.1;	N0B2S5;		
D7I2X9	D7I2X9		D7I2X9_PSESS														
A0A0B4X3P2	A0A0B4X3P2	unreviewed	A0A0B4X3P2_9HYPH	Rhombiod family peptidase protein	RGR602_CH02005	Rhizobium gallicum bv. gallicum R602sp	256	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Rhizobium/Agrobacterium group (no rank), Rhizobium (genus), Rhizobium gallicum (species), Rhizobium gallicum bv. gallicum (no rank)						WP_039844959.1;	A0A0B4X3P2;		
A0A0M2JE01	A0A0M2JE01		A0A0M2JE01_9ACTN														
A0A0F2NAY4	A0A0F2NAY4	unreviewed	A0A0F2NAY4_9BACT	Protease	VR65_17240	Desulfobulbaceae bacterium BRH_c16a	283	cellular organisms (no rank), Bacteria (superkingdom), Thermodesulfobacteriota (phylum), Desulfobulbia (class), Desulfobulbales (order), Desulfobulbaceae (family), unclassified Desulfobulbaceae (no rank)					Peptidase S54 family		A0A0F2NAY4;		
B5GGK9	B5GGK9	unreviewed	B5GGK9_STRSH	Rhomboid family protein	SSBG_03461	Streptomyces sp. (strain SPB074)	199	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus), unclassified Streptomyces (no rank)						WP_008746275.1;	B5GGK9;		
D8QY78	D8QY78	unreviewed	D8QY78_SELML	Peptidase S54 rhomboid domain-containing protein	SELMODRAFT_79372	Selaginella moellendorffii (Spikemoss)	272	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Lycopodiopsida (class), Selaginellales (order), Selaginellaceae (family), Selaginella (genus)					Peptidase S54 family	XP_002963281.1;	D8QY78;		
M0XTC0	M0XTC0		M0XTC0_HORVV														
R6SYU1	R6SYU1		R6SYU1_9BACE														
D5XE05	D5XE05	unreviewed	D5XE05_THEPJ	Rhomboid family protein	TherJR_1011	Thermincola potens (strain JR)	225	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Thermincolaceae (family), Thermincola (genus), Thermincola potens (species)					Peptidase S54 family	WP_013119895.1;	D5XE05;		
A4BI51	A4BI51	unreviewed	A4BI51_9GAMM	Peptidase S54 rhomboid domain-containing protein	MED297_14685	Reinekea blandensis MED297	209	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Saccharospirillaceae (family), Reinekea (genus), Reinekea blandensis (species)					Peptidase S54 family	WP_008042963.1;	A4BI51;		
A0A0F2TG87	A0A0F2TG87	unreviewed	A0A0F2TG87_STRR3	Peptidase S54 rhomboid domain-containing protein	VM95_19445	Streptomyces rubellomurinus (strain ATCC 31215)	238	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kitasatosporales (order), Streptomycetaceae (family), Streptomyces (genus)							A0A0F2TG87;		
H9JU45	H9JU45		H9JU45_BOMMO														
W5HID1	W5HID1		W5HID1_WHEAT														
M1CQ05	M1CQ05	unreviewed	M1CQ05_SOLTU	Rhomboid protein	LOC102593522	Solanum tuberosum (Potato)	408	cellular organisms (no rank), Eukaryota (superkingdom), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Solanales (order), Solanaceae (family), Solanoideae (subfamily), Solaneae (tribe), Solanum (genus)					Peptidase S54 family	XP_006339191.1;	M1CQ05;		
A5WG32	A5WG32	unreviewed	A5WG32_PSYWF	Rhomboid family protein	PsycPRwf_1683	Psychrobacter sp. (strain PRwf-1)	248	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Moraxellales (order), Moraxellaceae (family), Psychrobacter (genus), unclassified Psychrobacter (no rank)					Peptidase S54 family		A5WG32;		
