From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	EC number	Active site	Binding site	Catalytic activity	Gene Ontology (GO)	3D	Protein families	RefSeq	AlphaFoldDB	PDB	Pfam
L0NFH8	L0NFH8	unreviewed	L0NFH8_9HYPH	Dihydrofolate reductase (EC 1.5.1.3)	folA NT26_2106	Pseudorhizobium banfieldiae	175	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Rhizobium/Agrobacterium group (no rank), Pseudorhizobium (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_052638674.1;	L0NFH8;		PF00186;
A0A437M3W8	A0A437M3W8	unreviewed	A0A437M3W8_9SPHN	Dihydrofolate reductase (EC 1.5.1.3)	EOD43_00145	Sphingomonas crocodyli	160	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Sphingomonadales (order), Sphingomonadaceae (family), Sphingomonas (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A437M3W8;		PF00186;
A0A3S3UAF2	A0A3S3UAF2	unreviewed	A0A3S3UAF2_9BACT	Dihydrofolate reductase (EC 1.5.1.3)	H206_00626	Candidatus Electrothrix aarhusensis	166	cellular organisms (no rank), Bacteria (superkingdom), Thermodesulfobacteriota (phylum), Desulfobulbia (class), Desulfobulbales (order), Desulfobulbaceae (family), Candidatus Electrothrix (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A3S3UAF2;		PF00186;
A0A1L6MUW0	A0A1L6MUW0	unreviewed	A0A1L6MUW0_9BACT	Dihydrofolate reductase (EC 1.5.1.3)	BCY86_00370	Pajaroellobacter abortibovis	163	cellular organisms (no rank), Bacteria (superkingdom), Myxococcota (phylum), Polyangia (subclass), Polyangiales (order), Polyangiaceae (family), Pajaroellobacter (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_075275930.1;	A0A1L6MUW0;		PF00186;
A0A7W6FRS2	A0A7W6FRS2	unreviewed	A0A7W6FRS2_9SPHN	Dihydrofolate reductase (EC 1.5.1.3)	GGR43_004210	Sphingobium jiangsuense	165	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Sphingomonadales (order), Sphingomonadaceae (family), Sphingobium (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A7W6FRS2;		PF00186;
A0A1V1UV82	A0A1V1UV82	unreviewed	A0A1V1UV82_9CAUL	Dihydrofolate reductase (EC 1.5.1.3)	dhfrIII SH203_00102	Brevundimonas sp. SH203	175	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Caulobacterales (order), Caulobacteraceae (family), Brevundimonas (genus), unclassified Brevundimonas (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A1V1UV82;		PF00186;
A0A5B8LKT9	A0A5B8LKT9	unreviewed	A0A5B8LKT9_9SPHN	Dihydrofolate reductase (EC 1.5.1.3)	FPZ24_12460	Sphingomonas panacisoli	155	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Sphingomonadales (order), Sphingomonadaceae (family), Sphingomonas (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A5B8LKT9;		PF00186;
A0A3Q8F671	A0A3Q8F671	unreviewed	A0A3Q8F671_9PROT	Dihydrofolate reductase (EC 1.5.1.3)	folA CKSOR_00090	Candidatus Kinetoplastibacterium sorsogonicusi	163	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Betaproteobacteria incertae sedis (no rank), Candidatus Kinetoplastibacterium (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A3Q8F671;		PF00186;
D1AI85	D1AI85	unreviewed	D1AI85_SEBTE	Dihydrofolate reductase (EC 1.5.1.3)	Sterm_1610	Sebaldella termitidis (strain ATCC 33386 / NCTC 11300)	155	cellular organisms (no rank), Bacteria (superkingdom), Fusobacteriota (phylum), Fusobacteriia (class), Fusobacteriales (order), Leptotrichiaceae (family), Sebaldella (genus), Sebaldella termitidis (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_012861065.1;	D1AI85;		PF00186;
A0A0P0MHB9	A0A0P0MHB9	unreviewed	A0A0P0MHB9_9BURK	Dihydrofolate reductase (EC 1.5.1.3)	folA L103DPR2_02283	Limnohabitans sp. 103DPR2	166	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Comamonadaceae (family), Limnohabitans (genus), unclassified Limnohabitans (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_055362005.1;	A0A0P0MHB9;		PF00186;
A0A1A5YNJ3	A0A1A5YNJ3	unreviewed	A0A1A5YNJ3_9BACL	Dihydrofolate reductase (EC 1.5.1.3)	A7K91_21805	Paenibacillus oryzae	163	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Paenibacillaceae (family), Paenibacillus (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_068680955.1;	A0A1A5YNJ3;		PF00186;
A0A6A7K4D2	A0A6A7K4D2	unreviewed	A0A6A7K4D2_9FIRM	Dihydrofolate reductase (EC 1.5.1.3)	GC105_00685	Alkalibaculum sporogenes	167	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Eubacteriaceae (family), Alkalibaculum (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A6A7K4D2;		PF00186;
A0A218KC58	A0A218KC58	unreviewed	A0A218KC58_9CAUD	dihydrofolate reductase (EC 1.5.1.3)	PBC2_180	Bacillus phage PBC2	178	Viruses (superkingdom), Duplodnaviria (clade), Heunggongvirae (kingdom), Uroviricota (phylum), Caudoviricetes (class), Andregratiavirinae (subfamily), Haetaevirus (genus), Haetaevirus PBC2 (species)	1.5.1.3				dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; tetrahydrofolate biosynthetic process [GO:0046654]						PF00186;
A0A0A2WGH4	A0A0A2WGH4	unreviewed	A0A0A2WGH4_9GAMM	Dihydrofolate reductase (EC 1.5.1.3)	LF41_241	Lysobacter dokdonensis DS-58	162	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Lysobacterales (order), Lysobacteraceae (family), Lysobacter (genus), Lysobacter dokdonensis (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_036169160.1;	A0A0A2WGH4;		PF00186;
A0A0U4NH09	A0A0U4NH09	unreviewed	A0A0U4NH09_9GAMM	Dihydrofolate reductase (EC 1.5.1.3)	ATY27_06620 ATY27_18240	Rheinheimera sp. F8	155	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Chromatiaceae (family), Rheinheimera (genus), unclassified Rheinheimera (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A0U4NH09;		PF00186;
A0A5C1Q6T4	A0A5C1Q6T4	unreviewed	A0A5C1Q6T4_9SPIO	Dihydrofolate reductase (EC 1.5.1.3)	EW093_03355	Thiospirochaeta perfilievii	158	cellular organisms (no rank), Bacteria (superkingdom), Spirochaetota (phylum), Spirochaetia (class), Spirochaetales (order), Spirochaetaceae (family), Thiospirochaeta (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A5C1Q6T4;		PF00186;
A0A2P1NPP8	A0A2P1NPP8	unreviewed	A0A2P1NPP8_9BURK	Dihydrofolate reductase (EC 1.5.1.3)	C7H73_06740	Pulveribacter suum	166	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Comamonadaceae (family), Pulveribacter (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A2P1NPP8;		PF00186;
W6N6C8	W6N6C8	unreviewed	W6N6C8_CLOTY	Dihydrofolate reductase (EC 1.5.1.3)	CTDIVETGP_0899	Clostridium tyrobutyricum DIVETGP	169	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Clostridia (class), Eubacteriales (order), Clostridiaceae (family), Clostridium (genus), Clostridium tyrobutyricum (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_017751836.1;	W6N6C8;		PF00186;
A0A0E3V630	A0A0E3V630	unreviewed	A0A0E3V630_9BACT	Dihydrofolate reductase (EC 1.5.1.3)	SD10_06875	Spirosoma radiotolerans	163	cellular organisms (no rank), Bacteria (superkingdom), FCB group (clade), Bacteroidota/Chlorobiota group (clade), Bacteroidota (phylum), Cytophagia (class), Cytophagales (order), Cytophagaceae (family), Spirosoma (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; kinase activity [GO:0016301]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_046376276.1;	A0A0E3V630;		PF00186;
R7BYG4	R7BYG4	unreviewed	R7BYG4_9BURK	Dihydrofolate reductase (EC 1.5.1.3)	BN641_01101	Sutterella sp. CAG:397	162	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Sutterellaceae (family), Sutterella (genus), unclassified Sutterella (no rank)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		R7BYG4;		PF00186;
A0A1H9K2R6	A0A1H9K2R6	unreviewed	A0A1H9K2R6_9LACT	Dihydrofolate reductase (EC 1.5.1.3)	SAMN05421767_11148	Granulicatella balaenopterae	162	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Lactobacillales (order), Carnobacteriaceae (family), Granulicatella (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A1H9K2R6;		PF00186;
A0A366FGG4	A0A366FGG4	unreviewed	A0A366FGG4_9HYPH	Dihydrofolate reductase (EC 1.5.1.3)	DFR50_11126	Roseiarcus fermentans	171	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Roseiarcaceae (family), Roseiarcus (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A366FGG4;		PF00186;
H3KC00	H3KC00	unreviewed	H3KC00_9BURK	Dihydrofolate reductase (EC 1.5.1.3)	HMPREF9440_00250	Sutterella parvirubra YIT 11816	161	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Betaproteobacteria (class), Burkholderiales (order), Sutterellaceae (family), Sutterella (genus), Sutterella parvirubra (species)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family	WP_008540659.1;	H3KC00;		PF00186;
A0A3N0GUP3	A0A3N0GUP3	unreviewed	A0A3N0GUP3_9ACTN	Dihydrofolate reductase (EC 1.5.1.3)	EFL26_06920	Nocardioides pocheonensis	166	cellular organisms (no rank), Bacteria (superkingdom), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Propionibacteriales (order), Nocardioidaceae (family), Nocardioides (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A3N0GUP3;		PF00186;
A0A4R6XKK6	A0A4R6XKK6	unreviewed	A0A4R6XKK6_9GAMM	Dihydrofolate reductase (EC 1.5.1.3)	C8D91_2354	Marinicella litoralis	163	cellular organisms (no rank), Bacteria (superkingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Oceanospirillales (order), Alcanivoracaceae (family), Marinicella (genus)	1.5.1.3			CATALYTIC ACTIVITY: Reaction=(6S)-5,6,7,8-tetrahydrofolate + NADP(+) = 7,8-dihydrofolate + NADPH + H(+); Xref=Rhea:RHEA:15009, ChEBI:CHEBI:15378, ChEBI:CHEBI:57451, ChEBI:CHEBI:57453, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.5.1.3; Evidence={ECO:0000256|PIRNR:PIRNR000194};	cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		Dihydrofolate reductase family		A0A4R6XKK6;		PF00186;
A0A174CYC2	A0A174CYC2		A0A174CYC2_SARVE	deleted															
